6i943xrb2kc43cd3.org,chinad dga (malware),360.com
pg,malware,vxvault.net
tajstra.if.ua/includes/2c.jpg,malware,vxvault.net
sumenterprise.com/pcboost1.exe,malware,vxvault.net
highendfoods.in/html/2c.jpg,malware,vxvault.net
ge-cleaner.tech/kiskis.exe,malware,vxvault.net
cmailadvert15dx.world/sky/dmx777.exe,malware,vxvault.net
milap.net/js/px1.exe,malware,vxvault.net
pleanstreetdental.com/wp-content/plugins/ubh/benin/bencryp.exe,malware,vxvault.net
zanpress.com/wp-content/themes/Studio_ZANPRESS/fonts/doc/payments/2c.jpg,malware,vxvault.net
cmailadvert15dx.world/crot777amx.exe,malware,vxvault.net
www.geniusbadesign.xyz/Mondayfile.exe,malware,vxvault.net
